Navigation,Keys,Binding,System,Status,Category,HasIdeAction,HasKarabiner,HasIdeaVim,IsImplemented,ConfigFile
Vertical,"J, K",Hyper Cmd,-,Planned,Custom,No,No,No,No,-
Vertical,"J, K",G Prefix,I,Implemented,Navigation,Yes,No,Yes,Yes,.ideavimrc
Vertical,"J, K",Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Shift Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Ctrl Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Alt Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Cmd Double Tap,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Leader,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Shift,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Ctrl,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Alt,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Leader Cmd,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Double Leader,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Long Press,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Tap Hold,-,Planned,Timing,No,Yes,No,No,-
Vertical,"J, K",Chord Horizontal,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Chord Mouse,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Chord Scroll,-,Planned,Chord,No,Yes,No,No,-
Vertical,"J, K",Yank Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Visual Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Mark Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Jump Mark Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Register Vertical,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Backslash Leader Vertical,I,Planned,Leader,No,No,Yes,No,-
Vertical,"J, K",Bracket Prev,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Bracket Next,I,Planned,Sequence,No,No,Yes,No,-
Vertical,"J, K",Scroll Vertical,I,Planned,Navigation,Yes,No,Yes,No,-
